quote,author
"Give me six hours to chop down a tree and I will spend the first four sharpening the axe.","Abraham Lincoln"
"Working hard and working smart sometimes can be two different things.","Byron Dorgan"
"Success is the sum of small efforts repeated day in and day out.","Robert Collier"
"Well begun is half done.","Aristotle"
"The expert in anything was once a beginner.","Helen Hayes"
"A year from now you may wish you had started today.","Karen Lamb"
"Don't watch the clock; do what it does. Keep going.","Sam Levenson"
"Focus on being productive instead of busy.","Tim Ferriss"
"Practice does not make perfect. Perfect practice makes perfect.","Vince Lombardi"
"What gets measured gets managed.","Peter Drucker"
"Discipline is choosing between what you want now and what you want most.","Abraham Lincoln"
"The more I practice, the luckier I get.","Gary Player"
"Plan your work and work your plan.","Napoleon Hill"
"Formal education will make you a living; self-education will make you a fortune.","Jim Rohn"
"It's not about having time. It's about making time.","Unknown"
"Master the fundamentals, and the rest will follow.","Unknown"
"Don't count the days, make the days count.","Muhammad Ali"
"Unless commitment is made, there are only promises and hopes; but no plans.","Peter Drucker"
